Name,Email,Sent Messages (Baseline),Received Messages (Baseline),Recipients in Sent Messages (Baseline),Bcc Recipients in Sent Messages (Baseline),Cc Recipients in Sent Messages (Baseline),Read Later (in hours) (Baseline),Days between Received and Read (Baseline),Replies to Messages (Baseline),Characters in Outgoing Messages (Baseline),Messages Outside Working Hours (Baseline),Received/Sent Ratio (Baseline),Bytes Received and Sent Ratio (Baseline),Unanswered Questions (Baseline),Sent Messages (Comparison),Received Messages (Comparison),Recipients in Sent Messages (Comparison),Bcc Recipients in Sent Messages (Comparison),Cc Recipients in Sent Messages (Comparison),Read Later (in hours) (Comparison),Days between Received and Read (Comparison),Replies to Messages (Comparison),Characters in Outgoing Messages (Comparison),Messages Outside Working Hours (Comparison),Received/Sent Ratio (Comparison),Bytes Received and Sent Ratio (Comparison),Unanswered Questions (Comparison),Probability of Leaving
Alejandro Wright,jamesmccoy@example.net,333,168,10,4,4,9,2,1,230,8,1.7488067928463813,0.5335024401820517,0,306,230,3,0,4,7,6,25,355,4,1.0417234883389888,1.7869856844093404,0,1
Mary Raymond,schultzallison@example.com,213,230,4,4,1,3,2,0,302,4,1.2866279239687797,0.7971044870555088,4,338,182,1,3,0,4,5,22,292,6,1.5235634099518462,1.6474007861948765,0,0
Brian Perez,jacob89@example.com,254,183,5,3,4,8,6,15,286,8,1.1080546352967149,0.8407649272625664,0,324,229,4,1,3,6,2,26,336,5,1.1770075764982901,0.5176468965967577,1,0
Audrey Ferguson,shaun16@example.net,273,152,7,1,3,4,1,15,277,1,1.0376334717129736,1.605612713062073,1,202,219,4,2,3,2,6,0,312,1,1.1530965514616422,1.5818122557725691,4,0
Dawn Campbell,jparker@example.org,319,190,3,3,0,0,3,21,275,8,1.702223277734907,1.4710075078559142,1,341,194,10,1,0,5,2,11,354,6,1.404001995073512,0.8324938560434183,0,0
Margaret Johnson,kyle27@example.net,348,202,11,2,4,6,3,27,280,9,1.5738355486796447,1.3519674002628976,3,344,139,1,1,3,9,3,3,323,3,1.6626762796445371,0.8495198408518619,4,0
Steven Moore,andreaosborn@example.net,313,184,4,0,0,8,5,3,318,9,1.0875853529401605,0.9279251577218709,2,320,212,2,3,2,9,4,10,225,7,0.6185248824557155,1.0654526438766134,0,0
Catherine Mayo,fmcknight@example.org,297,202,9,4,0,6,4,3,357,9,0.8370305693836803,1.4784086644674084,2,260,268,11,4,1,4,3,24,245,5,0.643956106403443,1.7625234204701228,0,1
Krystal Martinez,katrinacabrera@example.com,381,252,5,1,4,6,5,14,334,9,0.9169246773045532,0.8869443312671685,1,263,234,8,3,1,1,2,25,317,0,1.361760550984845,1.9410932213486116,1,1
Kaylee Garcia,shirleybrown@example.org,297,172,13,4,0,1,3,27,352,9,1.9274979575516402,0.5400871460687737,4,307,236,4,4,0,5,5,14,248,1,0.5789814056470455,1.6347685377872,4,0
Lisa Mckee,jane26@example.org,225,180,12,2,0,6,2,0,336,0,0.6579947702955369,0.7363201410004503,1,236,230,7,4,1,6,4,7,370,5,1.634602780271053,1.283375479181978,4,0
Amanda Young,cbrowning@example.com,281,185,14,3,4,4,3,3,331,0,1.853237075985866,1.9017764910375508,0,298,265,9,1,2,8,4,7,326,4,1.1236150673419703,0.6329929925627997,2,1
Gina Morgan,nanderson@example.net,269,198,2,2,4,1,4,7,308,9,0.694886465255058,1.2614834225694274,4,321,232,2,3,4,7,5,5,271,5,0.5705084895497577,1.6768279803068744,3,1
Sarah Henson,jonathanrichards@example.org,299,197,8,4,0,9,1,7,286,2,1.2539182073240729,1.8380420992633857,2,301,245,4,1,3,8,4,21,261,2,1.0535326528337472,1.0890608002740665,3,0
Justin Gray,ymarks@example.com,327,243,9,0,1,8,3,24,276,4,1.4039461532766526,0.9867495750836677,4,309,221,1,3,0,4,2,13,363,4,1.2995427275946803,1.468441634425336,1,1
Jessica Silva,joseph11@example.com,241,194,8,1,1,1,1,26,284,9,1.819657304097352,1.595076119827108,1,294,174,5,2,0,4,5,0,291,1,1.1564247659415356,1.3329388092777967,4,1
Margaret Taylor,nhaynes@example.net,196,192,10,0,2,9,5,29,327,1,1.3052842798425741,0.7493871723173094,3,280,174,10,2,1,8,3,13,251,1,0.5531691368931138,0.6383078587134068,4,1
Scott Smith,amandaryan@example.com,289,235,8,3,0,6,2,18,246,0,1.3792942874679086,0.8685176856465083,0,235,209,1,1,3,3,3,20,306,9,1.019917421085512,1.5439856806135974,1,1
Dalton Rodriguez,carlosnorton@example.org,304,225,3,1,0,5,3,15,306,9,1.323230301864958,1.750800912495099,4,237,226,2,2,0,2,6,3,383,5,1.496121302174957,0.8486569263396777,1,1
Tammy Edwards,chuang@example.org,262,210,5,4,4,8,4,4,288,8,1.832180868429643,1.381867855685935,0,301,191,10,2,3,0,4,3,383,7,1.7214464594622725,0.6702319317544562,3,1
Cassie Martin,vcook@example.com,368,193,7,3,4,7,6,16,248,4,0.6367039544919695,1.1258528058377357,1,289,171,14,3,3,3,6,10,319,2,1.7952311883865164,1.70102309933408,1,0
Jason Padilla,campbellmichelle@example.org,227,211,4,0,0,1,2,24,303,5,1.2054563119165815,1.4280980269695183,1,286,253,8,2,4,7,5,17,343,9,1.8542182101580833,0.7917076736958916,2,1
Megan Odonnell,qbryant@example.com,281,171,4,1,1,8,1,7,288,1,0.9113433068561821,1.8995981742526518,3,235,199,6,4,0,4,5,29,293,3,1.5739477636501003,0.5667094585979209,2,1
George Oliver,heather94@example.org,279,188,13,3,1,7,3,10,238,6,0.5656377036205504,1.5265723961581834,4,350,183,3,2,4,5,4,18,299,7,0.8549364203501204,0.9238824826008494,2,1
Jeffrey Gilbert,howardrobert@example.com,337,224,9,3,0,8,1,9,318,5,1.6863675724234644,0.8827953595562741,0,310,192,6,4,4,6,2,23,332,1,1.474922376075607,1.6296950414189793,3,1
Shelby Mcfarland,mponce@example.net,254,154,9,1,4,8,5,29,267,6,1.7803620360263197,1.7208823687313668,3,291,239,2,3,0,3,2,10,190,1,1.9465591814331162,0.8762798786736584,3,0
Joseph Ramirez,tpham@example.org,262,198,5,2,3,8,3,26,275,9,0.9884193105912369,0.7957705471559795,3,265,231,2,4,4,7,5,25,303,2,0.7947857675624839,1.901408772027308,2,0
Sandy Stewart,agardner@example.com,180,242,7,2,4,9,5,19,267,1,1.901121515820157,0.7590015678332693,2,317,180,12,0,2,1,3,14,362,5,1.9332683571535023,1.9644728126628823,3,1
Tracy Chen,igrant@example.net,332,255,7,1,1,0,1,19,297,6,1.445772637416126,1.726991308842163,0,272,185,13,3,2,9,2,4,278,0,0.7957944751699872,1.8870585472677814,0,1
Christine Benson,daniellong@example.net,289,238,2,0,3,7,4,23,363,8,1.0630461826615967,0.5961969839545103,0,366,231,14,0,2,3,6,13,331,1,0.9425288472766157,1.0900586091842026,4,1
Luke Palmer,andrew46@example.org,326,200,9,4,4,2,5,27,265,6,1.3406451386961384,0.507845877914818,1,267,184,4,3,0,3,5,9,365,2,0.8977835382350261,1.182904508354013,4,1
Kimberly Williams,williamgutierrez@example.org,322,275,2,4,4,5,1,25,309,2,0.8355114774077569,0.5997791343551927,2,330,199,1,1,0,0,6,26,392,8,1.8470755155061318,0.8060995036827681,4,1
Brenda Clark,danielcaldwell@example.net,298,195,7,1,4,6,2,23,333,6,1.6540402590137213,1.3134357207218985,1,287,195,1,1,3,5,6,18,241,9,0.9997573394355994,1.7820880795126035,0,0
Justin Morris,jarias@example.net,301,211,13,0,4,7,2,21,385,6,1.29942325402189,1.3510196597253226,3,365,166,13,1,1,9,5,7,316,8,1.1954924370611726,0.7599531165382185,1,1
Amy Wilson,thickman@example.net,351,212,7,1,2,1,1,15,266,9,1.4702040862517054,1.9289519109575137,4,341,187,7,2,1,8,5,5,343,4,1.4889584238898892,0.6319832439986222,1,0
James Robinson,sandragoodman@example.org,253,215,10,0,2,9,4,14,283,2,0.7481279673703146,0.9705692803356062,2,324,213,4,3,2,5,6,15,272,1,1.121987003268933,1.94303601023662,2,0
Chad Gaines,flarson@example.com,261,227,4,3,4,3,1,15,216,8,1.3340662235370648,1.1247520019235648,2,301,219,5,3,2,6,3,9,338,1,1.7580644185376126,0.5303324373442604,1,0
Maxwell Miller,moodygeorge@example.com,168,257,13,1,3,3,1,6,387,1,0.9200500287680136,1.8203666087887256,3,259,184,11,4,1,7,5,21,318,7,1.7234670620003387,1.0157710076255464,4,1
Michele Walker,samanthadickerson@example.com,398,183,1,3,4,1,2,10,310,8,1.7423310361977402,1.6180601634868443,1,327,214,9,4,0,0,6,27,364,9,1.850642792543888,1.3442079476125166,3,1
Susan Sanders,vcox@example.com,392,218,5,3,2,2,3,14,175,8,0.8294076869457826,0.7005195717249656,3,332,157,11,3,0,1,3,4,256,8,1.9843709581379467,1.184829894568966,4,1
Amanda Owen,taylortracey@example.net,274,148,7,2,1,9,6,21,252,2,1.804037833436056,0.6799803059975165,1,281,156,3,3,0,4,6,29,276,8,0.7888848287047974,1.7030995062532994,3,0
Alicia Kelly,james24@example.net,280,235,14,1,4,6,6,25,345,3,1.886063341165916,0.7748343960034565,0,235,226,2,2,1,5,4,11,400,4,1.4168614170099167,0.7676601887246826,2,0
Emily Day,rose94@example.com,314,221,2,1,0,7,6,14,384,0,0.8701455181158606,0.8577849696237005,1,286,209,7,4,3,7,6,16,293,3,0.6108425387688742,1.2511505047365064,3,0
Kevin Mcdonald,cmaldonado@example.org,310,211,13,3,4,7,6,20,287,8,0.7451171584233395,0.7070607065183454,4,233,180,3,1,2,5,2,2,343,8,1.72534840185625,1.9698277684104224,3,1
Adam Miller,curtislee@example.net,340,168,10,1,4,6,3,17,258,7,1.361333349277742,1.6985268804500118,2,296,145,13,2,3,7,6,15,185,7,1.8529017650536566,0.9809642898519275,4,1
Ashley Washington,heather29@example.com,286,190,1,4,4,9,5,20,327,3,0.5905677680757271,0.9951224796124726,2,255,228,7,4,2,0,6,1,311,8,1.8707267054110817,1.0703746909065457,3,1
Janet Giles,pamelagraham@example.org,235,202,12,0,4,5,3,9,247,6,1.2715375120689518,1.8192367174746806,3,310,185,4,3,1,5,3,20,313,0,0.8117104366967582,1.7344344798885833,4,0
Andrea Mccormick,kayla44@example.net,376,192,7,4,4,9,3,20,255,6,1.4248957960753137,1.293609105675591,4,310,232,1,0,1,4,2,23,348,7,0.6720660825474654,1.020651103744566,3,0
Eddie Davis,joshua53@example.com,279,156,3,2,2,8,6,10,305,9,1.0853771417638132,0.7994511983595383,0,315,186,6,3,4,8,2,28,333,8,1.383435748051765,0.6449170039198542,3,0
Breanna Hopkins,sheltonleah@example.com,261,213,3,3,4,7,3,1,342,4,1.091988118883435,0.6842218963975712,2,317,211,3,0,0,0,5,19,266,3,1.0534607735580395,1.0341123746277192,0,1
Brittany Hines,katelyngonzales@example.org,343,167,2,2,2,3,3,0,412,3,0.6820888265143594,0.9235540379110192,4,253,236,13,1,3,1,3,12,360,1,1.4109632790897724,1.3236711496441138,3,0
Robert Hill,brandonbauer@example.com,338,237,5,0,0,5,5,4,256,9,1.265422009589967,1.3982778315788813,2,289,210,2,2,1,4,2,21,255,7,0.7796958907153251,1.2015526668102208,1,0
Jordan Patel,iwilliams@example.net,285,203,6,3,4,1,1,23,159,8,1.4541781215379148,0.7826534814396447,4,250,192,5,3,2,8,3,8,335,6,0.5334547863337451,0.8209697340437627,0,0
Sarah Murphy,cristian57@example.net,278,237,11,0,3,3,2,10,285,3,1.495216181289122,1.576614993666529,3,323,211,3,3,1,2,6,12,272,7,0.5401030655190069,0.5091519522321477,4,0
Dennis Carr,lodom@example.org,320,159,7,3,0,3,6,0,215,1,0.6464356334777039,0.8375801189043127,1,322,239,14,4,4,7,3,3,289,7,1.417781248113847,1.638394872899067,2,1
Mitchell Sullivan,bryanbecker@example.com,307,142,12,0,1,8,4,10,201,2,1.2867198596606937,0.9395182332341274,3,407,169,2,2,2,2,6,18,263,9,1.6675309325407655,1.3868511163155348,1,0
Debra Parrish,gonzalezdominic@example.org,399,279,4,3,3,1,3,16,263,8,1.834248244144809,1.503548158584508,2,399,273,7,0,4,0,5,3,268,7,1.1292907121800975,1.4790690439232914,2,1
Jason Becker,tiffany74@example.net,404,193,4,0,3,2,5,28,188,9,1.717681353218104,1.7860744890671416,1,368,177,7,0,2,7,1,17,197,6,1.3269311177617173,1.2486786065961226,2,0
Michael Hanson,erin61@example.net,312,177,7,0,0,1,1,18,295,6,1.1842575406955655,1.3267569965992276,4,265,171,14,3,4,5,4,7,261,4,0.5676470639735398,1.0428241419879147,1,1
Scott Newman,hhester@example.net,261,230,9,3,0,9,3,27,240,9,1.7085977078663726,1.1450699023315325,3,338,251,10,3,2,4,2,0,305,1,1.8409960066003432,1.623257148936946,2,0
Antonio Bell II,andreagill@example.org,233,207,13,4,2,8,5,7,373,0,0.7540745567701453,0.6237362017592484,3,366,205,9,0,0,0,4,14,267,8,1.4053950310121295,1.465203448906558,2,1
Marcus Brown,kristophergeorge@example.org,382,210,12,1,2,1,3,11,286,0,0.5246344612629049,1.9340296396688632,2,305,216,4,2,0,2,4,29,382,3,1.4394568152632992,0.6652032193958508,0,0
Kim Larson,melissa42@example.com,300,234,5,1,0,4,3,21,322,0,1.9633577966656754,1.4503394088534645,1,250,223,5,1,0,8,5,16,375,9,1.7668388386537615,0.5631450427055601,0,0
Tara Barrett DDS,rvaughn@example.net,274,191,12,0,3,4,3,5,343,0,1.1742439572886139,1.385008958892068,0,290,180,14,1,1,0,2,15,395,3,1.5822277699500282,1.0123530431194878,2,0
Jason Johnson,daisywhite@example.com,205,189,2,0,2,4,6,7,305,4,1.2810994955810464,1.2488870534271101,3,220,179,4,2,4,4,3,7,348,7,1.4774296901042425,1.6994946708410725,1,1
Mr. Eric Peterson,christopherpayne@example.net,236,228,5,0,3,3,1,11,318,1,0.9066175225156546,1.8628685616462788,1,235,201,8,1,2,9,2,8,340,5,0.8859753116262018,0.7036054482725866,4,1
Mindy Stewart,zmedina@example.org,296,167,7,1,4,5,5,0,274,5,1.6949870249632362,1.093019025469208,1,220,216,14,0,0,2,6,7,396,9,1.2879781108897126,0.8606495218621288,2,0
David Watson,robert85@example.com,206,254,1,0,0,4,2,20,315,0,1.8129819382886976,1.3333460630886613,2,347,172,11,3,1,4,1,28,371,1,1.5411575463609408,1.1792182477714301,4,0
Anna Ray,gracelindsey@example.org,258,209,9,3,3,1,6,11,290,6,0.6388798848172003,0.8270126690774073,0,338,183,8,0,0,8,3,16,285,8,1.7285620634157746,0.7670660228585753,4,0
Marie Mcfarland,catherine51@example.net,356,182,9,2,3,5,4,9,304,1,1.1749413846886063,0.69317692929265,0,218,210,1,1,4,8,3,7,261,6,1.7707339384587057,0.9185619132716598,0,1
William Lyons,martinezjason@example.net,287,164,6,2,0,5,1,21,282,4,0.9240482006646267,0.8793359822958786,4,385,229,2,1,1,7,5,2,343,3,0.854142188319907,0.8525091903495782,3,0
Juan Guerrero,cruzjoshua@example.net,402,250,14,3,2,6,5,16,349,9,1.8662757163847652,1.0671281799389238,4,290,133,11,0,0,2,5,15,176,6,1.2968512326301345,1.5906669123144934,4,0
Mary Hunter,katelyn42@example.org,338,198,4,0,4,5,4,6,249,2,1.2021193672910586,1.4361737626950877,4,369,212,5,4,0,5,5,16,331,4,1.4015362816004835,1.205345729419337,0,1
Luke Crane,kevin25@example.net,293,185,2,0,1,3,5,1,203,2,1.807195662614974,0.6249145945051596,4,285,203,7,0,2,3,3,14,239,4,1.2954715798956333,1.6286528376143776,3,0
Marilyn Acosta,hector99@example.net,337,248,10,2,0,4,3,1,323,2,0.5330985866117386,1.6938951846377415,2,325,185,6,4,3,0,4,17,326,6,0.8715831085272152,1.0497488649117206,3,1
Dean Nelson,gnoble@example.org,364,185,10,1,2,9,3,6,289,3,0.505207057467838,1.598302044349016,4,250,169,12,1,0,4,5,1,297,1,0.6308192992965348,1.12673272366473,0,0
Sara Jones,smithhaley@example.com,329,154,9,0,1,5,4,12,336,7,0.5971667702209167,1.7444117121836746,3,216,162,2,3,3,2,6,12,349,1,0.9003639701224487,1.430663491125898,0,1
Jack Matthews,jparker@example.com,364,184,14,3,4,9,4,0,345,8,0.7444019885710078,1.7681835158764894,2,347,202,4,0,0,7,3,5,383,2,1.1184692393395652,0.7364539228696849,3,1
Catherine Smith,tiffany32@example.net,190,210,6,0,3,5,5,29,331,2,1.535071717341664,0.5362029163843405,2,332,222,4,2,3,7,3,0,300,9,1.2391671748486746,1.0035481047861734,4,0
Brooke Smith,regina10@example.com,333,212,12,1,0,1,4,29,286,0,0.7944905408965447,0.8601702334159809,4,280,262,2,4,4,2,6,17,186,2,1.7119859866899791,1.1184074294554975,1,1
Timothy Long,icox@example.com,289,176,1,0,1,6,2,26,196,6,1.7634700875080482,0.879286219416341,2,342,192,7,4,0,2,6,22,388,9,1.0236989042592954,1.114830755753951,3,1
Allen Vaughan,michael58@example.org,286,229,4,2,2,8,6,6,359,9,0.8484818394196811,1.8444140101638367,1,243,271,4,0,3,3,2,13,374,6,1.5878664230722448,0.7289621462092992,1,0
Amanda Riley,garyortiz@example.org,322,193,11,1,3,2,5,2,232,8,0.6262581059866774,0.679167687280992,0,257,173,11,3,1,2,3,3,334,2,1.2068919449594777,0.9178551106966548,1,1
Joshua Edwards,jackbrown@example.org,299,194,9,1,0,3,1,8,374,2,1.3097296628754798,0.9146223019376806,1,290,227,12,0,2,3,2,12,330,4,0.9991638470797019,1.5210198807163375,4,0
William Alvarado,csheppard@example.net,333,187,2,3,3,7,2,29,302,4,1.9469547238374694,1.6433261005213122,2,191,233,9,4,3,1,2,29,352,1,1.2241286345067577,0.944968955416114,0,1
Tammy Sanchez,deanmoreno@example.net,265,180,10,2,2,1,5,8,281,5,0.6600166031305472,1.899345176051966,1,320,182,4,1,1,2,6,17,285,0,1.4305091778752204,0.8029983581643296,2,1
Bryan Mora,matthewwright@example.net,347,225,12,0,4,0,1,22,194,0,0.6003913626546722,1.8891584513773265,1,187,238,11,4,1,8,2,29,241,1,0.5794635560660222,1.26765108582136,2,0
Lynn Hamilton,alicialane@example.com,337,226,4,1,3,6,1,19,269,1,1.380190534162762,0.7885270272927825,4,238,178,11,4,2,8,5,5,305,4,1.873599479483126,1.6785314633149595,3,1
Amanda Ball,bayala@example.org,261,222,8,1,1,2,5,23,264,9,1.1044066320376875,1.8975282957852373,0,257,175,11,2,0,0,2,26,250,7,0.9350801715249752,0.7263236867746787,3,1
Sheri Hicks,scline@example.com,222,224,8,2,3,8,6,0,344,5,1.3432831004334513,1.0573588968730117,0,320,203,6,4,2,7,4,23,325,4,0.5991165605180097,1.2130794843678068,1,1
Marissa Gutierrez,juan58@example.com,299,130,2,4,3,0,5,1,354,5,1.8679556240436437,1.709711510620975,0,352,202,13,3,4,4,3,2,301,9,1.2327961898767728,0.9859843254238645,4,0
Crystal Foley,becky50@example.com,287,226,1,3,1,2,2,6,259,4,0.6431281334255565,0.9297069947901561,3,294,249,13,3,2,4,2,19,330,9,0.5271358426713912,0.5149371680254967,1,0
Christina Watts,allisoncrane@example.net,314,148,9,2,1,3,2,26,263,4,0.8715692223942104,0.6716821813455731,0,241,218,14,3,1,9,3,6,375,6,1.6974482035162408,0.7249978984240443,1,0
Sarah Diaz,kathy89@example.org,307,230,11,1,4,5,6,10,281,6,0.7976322055531422,1.5087679365368505,3,309,160,2,1,1,0,1,20,360,8,0.9604596715612392,0.9062255305477533,1,1
Marcus Mayer,valeriebutler@example.com,302,244,11,0,0,9,2,11,396,7,1.0902664623121365,1.5075948383511852,3,217,212,4,0,0,2,3,19,344,9,1.1464418449774518,0.6668614264281776,1,0
David Stevens,csimmons@example.org,246,183,12,4,1,6,5,21,186,9,1.6028986512897578,0.6244379060198404,3,294,167,13,0,2,3,4,28,241,5,1.4929079810189456,0.725140421131774,4,1
Tina Perez,washingtonjulia@example.com,349,235,1,4,2,2,4,5,300,3,0.7370721954383879,1.7197454814575213,1,351,225,3,1,1,7,5,14,329,7,1.8151570358074696,0.5622062106899884,3,1
Elizabeth Reyes,davidwilliams@example.com,299,243,14,3,4,9,5,28,393,1,0.8784493103770121,0.563780494964117,3,268,231,6,2,4,4,6,12,341,8,0.6153590102091633,0.6296381127743995,0,0
Tyler Lyons,matthewlittle@example.net,289,174,5,2,1,3,3,23,313,1,1.7584714473694232,1.2606964032316847,4,279,211,8,3,3,8,4,11,319,0,1.4461608848500251,1.4795776246808523,4,1
Lynn Rodriguez,kathy90@example.com,301,229,1,4,0,7,5,16,269,8,0.5310078466116666,1.3010871343236057,1,354,222,7,1,0,9,5,26,255,2,1.5926409814523232,1.7614601432096135,2,0
Michael Walker,slewis@example.com,331,217,1,4,2,4,3,13,187,1,1.7103109729891388,1.5426477490705353,3,338,199,5,3,1,4,3,3,339,0,1.2065375807517462,1.1755475441045464,4,0
Brandi Cooley,hshaw@example.com,225,180,5,1,1,1,2,28,266,9,0.8622267727846916,1.994078483740397,1,248,206,5,1,1,0,3,26,213,3,1.1867754276138414,0.8391355089566397,2,1
Laura Mcclure,shawna17@example.com,308,181,1,1,0,0,1,8,279,0,1.958218438099109,1.3462471083001046,0,363,211,4,0,1,9,6,5,189,4,1.2645938294963308,1.751680537347411,0,1
Cesar Malone,brayshannon@example.com,369,204,8,3,4,6,6,29,320,0,1.6636598758589165,1.6953921311482236,3,303,215,8,4,0,4,5,29,269,4,1.6920537219539225,1.9258656739284998,0,0
Annette Brooks,imoses@example.net,279,198,7,3,2,5,1,26,333,8,0.5065246909974915,1.6648120273054372,4,263,252,3,3,1,4,5,15,284,7,1.5161403933908797,1.6465466106126485,0,0
Danielle Williams,paul06@example.net,369,213,3,3,1,8,4,25,250,6,1.1216657717911969,1.162319832008468,4,292,231,1,3,1,3,5,16,347,6,0.9134456301272511,1.3664358411297353,2,0
Christie Jones,csimon@example.com,335,201,1,3,2,2,1,15,289,3,1.2126632555600145,0.7856209670231293,2,309,201,8,2,4,1,4,1,356,1,1.6418007603766889,1.4694625304485824,0,0
Alison Martinez,alexandragregory@example.org,265,176,11,3,3,2,3,17,323,0,1.6654004680081114,1.640950118708121,3,271,216,10,4,4,0,4,16,361,6,0.9671627653650143,1.0805168050348966,3,0
Lori Zamora,kaylarivera@example.com,317,153,14,2,0,7,1,7,374,6,0.5727137095233515,0.5843998012561284,0,294,180,14,3,3,6,1,13,347,3,1.3461049824407356,0.797349610743886,0,1
Miranda Wilkins,jennifer67@example.net,287,161,1,4,0,5,6,23,255,9,0.8153385066358569,1.448866987164904,4,261,220,11,1,4,4,1,24,295,0,0.8740561862013663,1.8465426326480814,3,1
Eric Morris,vazquezkatherine@example.org,337,193,11,0,1,1,5,6,274,5,0.5847357842873653,1.7041731557018442,1,316,247,1,1,1,0,4,10,292,7,1.2117562142800815,1.6473639185643147,0,1
Bradley Chambers,lisanguyen@example.net,278,231,4,3,3,6,4,8,219,0,1.8560088838528546,1.015259699103882,0,402,227,5,4,1,0,3,7,343,0,1.5173115908033945,1.4911185121480746,1,0
David Moore,alyssa24@example.org,264,158,4,4,2,7,1,6,267,9,0.7188385102748773,1.2926817619145354,3,386,178,1,3,4,9,1,18,375,6,1.626125495544491,0.5249178682879908,2,0
Alyssa Nichols,bdiaz@example.org,269,200,4,4,2,2,5,24,396,2,1.7882980930513863,1.4683848278432767,0,323,202,12,3,1,3,6,23,330,3,1.6024903369161363,0.7772957166937264,0,0
Chad Clark,thomasjennifer@example.org,240,225,6,2,1,2,3,23,264,0,1.8878063210408709,1.566628515402105,2,283,196,4,3,3,1,4,26,319,2,1.8978326559322691,1.7670115279885072,3,1
Christopher Ruiz,robertadams@example.net,296,183,10,4,1,4,2,20,385,8,1.0111817171826427,0.833009932410006,2,312,199,8,2,2,1,5,29,288,8,1.105669429141648,1.1454137975299776,4,1
Mr. Gregory Church,imay@example.net,315,183,3,3,0,6,2,27,278,8,1.75278429369854,1.7279358906794275,3,272,246,6,1,3,0,1,23,406,8,0.6254456879516885,1.5839307304788333,0,0
Matthew Lamb,troy03@example.net,262,202,12,2,4,0,2,22,365,6,1.6020453923053486,0.945755140782971,0,271,202,14,2,4,6,4,10,333,4,1.609761078874763,0.9873421525903362,3,0
Jacob Harris,gregory24@example.com,336,223,7,2,4,7,1,1,255,0,1.5197085308716993,1.2876923947670107,0,432,195,5,3,4,8,5,15,303,2,1.525779538670245,0.7399495510834796,0,1
Kevin Rivers,umeyer@example.com,311,121,4,0,0,9,6,11,355,3,1.0260184171736475,1.6312742805395035,2,228,224,6,4,3,7,1,16,320,3,1.7190401444730756,1.304845691171784,1,0
Casey Harris,hfranco@example.org,300,227,5,4,0,2,5,19,327,9,0.606523739177575,1.0860717855027473,4,390,139,11,3,3,5,3,3,338,8,1.3509228725407332,1.378231257959456,2,1
Tamara Osborne DVM,alex22@example.com,230,219,9,2,1,8,2,2,341,8,1.0104736479600043,1.8055490099633544,0,255,202,4,4,1,8,2,2,264,6,1.5047587354990846,1.3973668865607751,0,1
Alice Hayes,graycynthia@example.net,301,267,1,1,3,1,3,26,384,2,0.996444194321149,0.8113708649921637,0,300,215,3,4,1,2,5,19,269,7,1.3136400950406912,0.8319109390738991,3,0
Sandra Gray,jasonwaters@example.com,263,164,5,0,4,3,2,3,297,6,1.9254622261187313,1.8924777396071057,2,289,161,3,0,3,7,6,3,222,4,0.8356558290030492,1.4775505355832637,0,1
Sara Gonzalez,smithbrittany@example.com,200,202,5,0,0,8,1,25,321,4,1.1257804901585955,1.2343525502973463,3,301,169,10,4,1,1,6,12,321,2,0.5111031569209984,1.8506553929895777,4,0
Ashley Miranda,kimberlyle@example.org,405,228,14,3,4,5,6,5,267,6,1.978578389784818,0.922995626708873,1,310,134,2,0,1,1,1,12,380,9,0.5802489114498611,1.7464697259740278,2,1
Nichole Beck,williamcruz@example.com,262,223,5,2,0,9,6,14,319,9,1.8719123928774315,1.36068744696799,2,377,228,1,4,1,9,6,17,294,9,1.672390503968954,0.804053310742624,3,1
Tommy Brooks,ysantos@example.com,343,232,6,3,4,0,1,9,342,6,1.3826563262905354,1.9630193583226176,4,290,226,3,0,2,1,2,10,346,7,1.54472082827396,1.9810661776685767,1,1
David Martinez,ashleyrivas@example.org,336,183,13,1,1,6,1,24,284,4,0.921175386017268,1.9922190414279997,1,244,209,4,2,3,4,4,28,237,2,1.2804472771751159,1.5594397876548873,1,1
Trevor Krause,timothy80@example.net,274,173,3,3,2,8,1,17,340,2,1.9117883863130638,1.4891266907674543,4,293,220,12,3,3,0,5,10,162,9,0.7348020732548768,0.9754590534945937,3,0
Brittany Sanchez,mcgeelindsey@example.net,306,182,6,4,0,6,6,26,383,6,0.6401970194291894,0.7631740337784497,4,256,219,11,3,1,0,5,8,320,6,1.2488407700889252,0.9460873513185497,1,1
Michael Wallace,angela41@example.net,261,220,4,3,2,8,4,4,288,2,0.7652255407922604,1.9158128228148465,4,301,214,11,4,3,8,5,15,335,1,0.7096950992605078,1.8626636112364099,2,0
Emily Smith,kbrown@example.net,383,176,1,1,0,6,1,27,346,9,1.9581488854256985,1.8435640311537052,2,336,153,2,2,4,1,4,3,291,6,1.2131606222834956,1.4601891122207689,0,0
Rebecca Mitchell,tgilbert@example.org,331,199,10,0,0,4,6,9,316,9,1.3393092883170212,1.9112228044149266,2,363,197,13,2,2,0,1,0,316,1,1.9406595713767536,1.8843171968150954,3,1
Annette Friedman,howardadam@example.org,279,186,11,2,2,5,4,6,327,2,0.9970053813414267,1.9650282091968698,1,359,185,11,2,1,9,1,25,309,8,1.038952297810842,0.684501773264462,4,0
Jennifer Coleman,millerlisa@example.org,364,148,8,1,2,4,4,9,300,2,0.9290358449704055,1.668195596883962,2,267,207,6,3,2,8,2,26,296,3,0.791332876615565,0.804902536279644,0,0
